dataset_index,speaker_id,chapter_id,utterance_id,reference,wav_prediction,wav_wer,compressed_prediction,compressed_wer,compression_ratio,dataset,codec,bitrate,delta_sample_wer,wav_substitutions,wav_deletions,wav_insertions,compressed_substitutions,compressed_deletions,compressed_insertions,delta_substitutions,delta_deletions,delta_insertions,wav_correct,compressed_correct,new_error,recovered,worsened,improved,unchanged
243,1284,1180,31,AT THE EMERALD CITY WHERE OUR PRINCESS OZMA LIVES GREEN IS THE POPULAR COLOR,AT THE EMERALD CITY WHERE OR PRINCESS OZMA LIVES GREEN IS THE POPULAR COLOR,0.0714285714285714,AT THE EMERALD CITY WHERE OUR PRINCESS OZMA LIVES GREEN IS THE POPULAR COLOR,0.0,1.942313253617995,test-clean,mp3,128k,-0.0714285714285714,1,0,0,0,0,0,-1,0,0,False,True,False,True,False,True,False
468,1995,1836,2,WHY SHOULD HE NOT BE AS OTHER MEN,WHY SHOULD HE NOT BE AS OTHER MEN,0.0,WHY SHOULD HE NOT BE AS OTHER MEN,0.0,1.8911585443602887,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
1715,61,70968,34,A MONTFICHET A MONTFICHET GAMEWELL TO THE RESCUE,A MONTFICHET A MONTFICHET GAME WELL TO THE RESCUE,0.25,A MONTFICHET A MONTFICHET GAME WELL TO THE RESCUE,0.25,1.9420140233148364,test-clean,mp3,128k,0.0,1,0,1,1,0,1,0,0,0,False,False,False,False,False,False,True
101,1188,133604,37,EVERY LINE IN WHICH THE MASTER TRACES IT EVEN WHERE SEEMINGLY NEGLIGENT IS LOVELY AND SET DOWN WITH A MEDITATIVE CALMNESS WHICH MAKES THESE TWO ETCHINGS CAPABLE OF BEING PLACED BESIDE THE MOST TRANQUIL WORK OF HOLBEIN OR DUERER,EVERY LINE IN WHICH THE MASTER TRACES IT EVEN WHERE SEEMINGLY NEGLIGENT IS LOVELY AND SET DOWN WITH A MEDITATIVE CALMNESS WHICH MAKES THESE TWO ETCHINGS CAPABLE OF BEING PLACED BESIDE THE MOST TRANQUIL WORK OF HOLBINE OR DUR,0.0512820512820512,EVERY LINE IN WHICH THE MASTER TRACES IT EVEN WHERE SEEMINGLY NEGLIGENT IS LOVELY AND SET DOWN WITH A MEDITATIVE CALMNESS WHICH MAKES THESE TWO ETCHINGS CAPABLE OF BEING PLACED BESIDE THE MOST TRANQUIL WORK OF HOLBINE OR DUR,0.0512820512820512,1.98056952281034,test-clean,mp3,128k,0.0,2,0,0,2,0,0,0,0,0,False,False,False,False,False,False,True
1636,5683,32866,12,NOW THAT'S IMPOSSIBLE RADIE FOR I REALLY DON'T THINK I ONCE THOUGHT OF HIM ALL THIS EVENING EXCEPT JUST WHILE WE WERE TALKING,NOW THAT'S IMPOSSIBLE RADIE FOR I REALLY DON'T THINK I ONCE THOUGHT OF HIM ALL THIS EVENING EXCEPT JUST WHILE WE WERE TALKING,0.0,NOW THAT'S IMPOSSIBLE RADIE FOR I REALLY DON'T THINK I ONCE THOUGHT OF HIM ALL THIS EVENING EXCEPT JUST WHILE WE WERE TALKING,0.0,1.9694010562147588,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
371,1580,141083,37,WHAT COULD HE DO HE CAUGHT UP EVERYTHING WHICH WOULD BETRAY HIM AND HE RUSHED INTO YOUR BEDROOM TO CONCEAL HIMSELF,WHAT COULD HE DO HE CAUGHT UP EVERYTHING WHICH WOULD BETRAY HIM AND HE RUSHED INTO YOUR BEDROOM TO CONCEAL HIMSELF,0.0,WHAT COULD HE DO HE CAUGHT UP EVERYTHING WHICH WOULD BETRAY HIM AND HE RUSHED INTO YOUR BEDROOM TO CONCEAL HIMSELF,0.0,1.952860017246335,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
892,2961,960,18,BUT IN THE REST OF THE WORK THE POWER OF LANGUAGE SEEMS TO FAIL HIM AND THE DRAMATIC FORM IS WHOLLY GIVEN UP,BUT IN THE REST OF THE WORK THE POWER OF LANGUAGE SEEMS TO FAIL HIM AND THE DRAMATIC FORM IS WHOLLY GIVEN UP,0.0,BUT IN THE REST OF THE WORK THE POWER OF LANGUAGE SEEMS TO FAIL HIM AND THE DRAMATIC FORM IS WHOLLY GIVEN UP,0.0,1.972613821048529,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
1887,6829,68769,27,WHOSE NAME DID YOU SIGN TO THE CHECK ASKED KENNETH,WHOSE NAME DID YOU SIGN TO THE CHECK ASKED KENNETH,0.0,WHOSE NAME DID YOU SIGN TO THE CHECK ASKED KENNETH,0.0,1.913075678730827,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
428,1580,141084,40,HE RETURNED CARRYING HIS JUMPING SHOES WHICH ARE PROVIDED AS YOU ARE AWARE WITH SEVERAL SHARP SPIKES,HE RETURNED CARRYING HIS JUMPING SHOES WHICH ARE PROVIDED AS YOU ARE WEAR WITH SEVERAL SHARP SPIKES,0.0588235294117647,HE RETURNED CARRYING HIS JUMPING SHOES WHICH ARE PROVIDED AS YOU ARE WEARE WITH SEVERAL SHARP SPIKES,0.0588235294117647,1.955780125555045,test-clean,mp3,128k,0.0,1,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True
1525,5142,33396,63,AND WOULD HE NOT BE A GOOD GIFT FOR OUR BABY,AND WOULD HE NOT BE A GOOD GIFT FOR OUR BABY,0.0,AND WOULD HE NOT BE A GOOD GIFT FOR OUR BABY,0.0,1.91380989713254,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
151,121,127105,17,IT WAS ALMOST THE TONE OF HOPE EVERYBODY WILL STAY,IT WAS ALMOST THE TONE OF HOPE EVERYBODY WILL STAY,0.0,IT WAS ALMOST THE TONE OF HOPE EVERYBODY WILL STAY,0.0,1.91932937540302,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
2382,8455,210777,26,AND THE DEATH OF WHICH I DREAMT COULD NOT ALAS,AND THE DEATH OF WHICH I DREAMT COULD NOT ALAS,0.0,AND THE DEATH OF WHICH I DREAMT COULD NOT ALAS,0.0,1.9155451881093368,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
68,1188,133604,4,SOME OF THE TOUCHES INDEED WHEN THE TINT HAS BEEN MIXED WITH MUCH WATER HAVE BEEN LAID IN LITTLE DROPS OR PONDS SO THAT THE PIGMENT MIGHT CRYSTALLIZE HARD AT THE EDGE,SOME OF THE TOUCHES INDEED WHEN THE TINT HAS BEEN MIXED WITH MUCH WATER HAVE BEEN LAID IN LITTLE DROPS OR PONDS SO THAT THE PIGMENT MIGHT CRYSTALLIZE HARD AT THE EDGE,0.0,SOME OF THE TOUCHES INDEED WHEN THE TINT HAS BEEN MIXED WITH MUCH WATER HAVE BEEN LAID IN LITTLE DROPS OR PONDS SO THAT THE PIGMENT MIGHT CRYSTALLIZE HARD AT THE EDGE,0.0,1.9787541577416716,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
1477,5142,33396,15,AS OUR BOAT FLASHED DOWN THE ROLLERS INTO THE WATER I MADE THIS SONG AND SANG IT,AS OUR BOAT FLASHED DOWN THE ROLLERS INTO THE WATER I MADE THIS SONG AND SANG IT,0.0,AS OUR BOAT FLASHED DOWN THE ROLLERS INTO THE WATER I MADE THIS SONG AND SANG IT,0.0,1.9465673620808823,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
2433,8463,287645,6,THE DOCTOR WHO ATTENDED THE INJURED CREATURE IN THIS CASE WAS SIMPLY TOLD THAT SHE SLIPPED AND FELL DOWN STAIRS AS SHE WAS COMING DOWN,THE DOCTOR WHO ATTENDED THE INJURED CREATURE IN THIS CASE WAS SIMPLY TOLD THAT SHE SLIPPED AND FELL DOWN THE STAIRS AS SHE WAS COMING DOWN,0.04,THE DOCTOR WHO ATTENDED THE INJURED CREATURE IN THIS CASE WAS SIMPLY TOLD THAT SHE SLIPPED AND FELL DOWN THE STAIRS AS SHE WAS COMING DOWN,0.04,1.9647488715339971,test-clean,mp3,128k,0.0,0,0,1,0,0,1,0,0,0,False,False,False,False,False,False,True
865,2830,3980,68,THE GREATNESS OF THE RANSOM CHRIST THE SON OF GOD INDICATES THIS,THE GREATNESS OF THE RANSOM CHRISTS THE SON OF GOD INDICATES THIS,0.0833333333333333,THE GREATNESS OF THE RANSOM CHRISTS THE SON OF GOD INDICATES THIS,0.0833333333333333,1.9560589953199647,test-clean,mp3,128k,0.0,1,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True
2487,8463,294828,25,BUT WE'RE GOING JUST THE SAME,BUT WE'RE GOING JUST THE SAME,0.0,BUT WE'RE GOING JUST THE SAME,0.0,1.873637191806988,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
1233,4507,16021,12,WHY SHOULD ONE HALT ON THE WAY,WHY SHOULD ONE HALT ON THE WAY,0.0,WHY SHOULD ONE HALT ON THE WAY,0.0,1.9231596741970185,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
2476,8463,294828,14,THERE WAS GOOD REASON TO STOP AND THINK EVEN FOR THE WORLD'S MOST EMOTIONLESS MAN,THERE WAS GOOD REASON TO STOP AND THINK EVEN FOR THE WORLD'S MOST EMOTIONLESS MAN,0.0,THERE WAS GOOD REASON TO STOP AND THINK EVEN FOR THE WORLD'S MOST EMOTIONLESS MAN,0.0,1.951156675502752,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
1893,6829,68769,33,IT WAS BETTER FOR HIM TO THINK THE GIRL UNFEELING THAN TO KNOW THE TRUTH,IT WAS BETTER FOR HIM TO THINK THE GIRL UNFAILING THAN TO KNOW THE TRUTH,0.0666666666666666,IT WAS BETTER FOR HIM TO THINK THE GIRL UNFAILING THAN TO KNOW THE TRUTH,0.0666666666666666,1.941887304820095,test-clean,mp3,128k,0.0,1,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True
1393,4992,41806,5,NEXT CAME OLIVE'S TURN TO HELP IN THE CEREMONIES,NEXT CAME OLIVE'S TURNED TO HELP IN THE CEREMONIES,0.1111111111111111,NEXT CAME OLIVE'S TURNED TO HELP IN THE CEREMONIES,0.1111111111111111,1.9365079365079363,test-clean,mp3,128k,0.0,1,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True
386,1580,141083,52,OH I WOULD NOT VENTURE TO SAY SIR,OH I WOULD NOT VENTURE TO SAY SIR,0.0,OH I WOULD NOT VENTURE TO SAY SIR,0.0,1.9358671082373968,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
2216,7176,92135,29,I WANT TO GET AWAY FROM IT ALL SWOONS,I WANT TO GET AWAY FROM IT ALL SWOON,0.1111111111111111,I WANT TO GET AWAY FROM IT ALL SWOON,0.1111111111111111,1.9281176257033945,test-clean,mp3,128k,0.0,1,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True
720,260,123286,18,I SAW AT THE HAMBURG MUSEUM THE SKELETON OF ONE OF THESE CREATURES THIRTY FEET IN LENGTH,I SAW AT THE HAMBURG MUSEUM THE SKELETON OF ONE OF THESE CREATURES THIRTY FEET IN LENGTH,0.0,I SAW AT THE HAMBURG MUSEUM THE SKELETON OF ONE OF THESE CREATURES THIRTY FEET IN LENGTH,0.0,1.956413489830892,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
1130,4446,2271,17,ONE NIGHT WHEN HE AND WINIFRED WERE SITTING TOGETHER ON THE BRIDGE HE TOLD HER THAT THINGS HAD HAPPENED WHILE HE WAS STUDYING ABROAD THAT HE WAS SORRY FOR ONE THING IN PARTICULAR AND HE ASKED HER WHETHER SHE THOUGHT SHE OUGHT TO KNOW ABOUT THEM,ONE NIGHT WHEN HE AND WINTIFORD WERE SITTING TOGETHER ON THE BRIDGE HE TOLD HER THAT THINGS HAD HAPPENED WHILE HE WAS STUDYING ABROAD THAT HE WAS SORRY FOR ONE THING IN PARTICULAR AND HE ASKED HER WHETHER SHE THOUGHT SHE OUGHT TO KNOW ABOUT THEM,0.0217391304347826,ONE NIGHT WHEN HE AND WINTIFORD WERE SITTING TOGETHER ON THE BRIDGE HE TOLD HER THAT THINGS HAD HAPPENED WHILE HE WAS STUDYING ABROAD THAT HE WAS SORRY FOR ONE THING IN PARTICULAR AND HE ASKED HER WHETHER SHE THOUGHT SHE OUGHT TO KNOW ABOUT THEM,0.0217391304347826,1.979918158929103,test-clean,mp3,128k,0.0,1,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True
705,260,123286,3,YOU SEEM ANXIOUS MY UNCLE I SAID SEEING HIM CONTINUALLY WITH HIS GLASS TO HIS EYE ANXIOUS,YOU SEEM ANXIOUS MY UNCLE I SAID SEEING HIM CONTINUALLY WITH HIS GLASS TO HIS EYE ANXIOUS,0.0,YOU SEEM ANXIOUS MY UNCLE I SAID SEEING HIM CONTINUALLY WITH HIS GLASS TO HIS EYE ANXIOUS,0.0,1.9683946167388384,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
2352,8230,279154,40,THERE ARE HOWEVER SEVERAL POINTS IN WHICH SUCH AN ACCOUNT OF RECOGNITION IS INADEQUATE TO BEGIN WITH IT MIGHT SEEM AT FIRST SIGHT MORE CORRECT TO DEFINE RECOGNITION AS I HAVE SEEN THIS BEFORE THAN AS THIS HAS EXISTED BEFORE,THERE ARE HOWEVER SEVERAL POINTS IN WHICH SUCH AN ACCOUNT OF RECOGNITION IS INADEQUATE TO BEGIN WITH IT MIGHT SEEM AT FIRST SIGHT MORE CORRECT TO DEFINE RECOGNITION AS I HAVE SEEN THIS BEFORE THAN AS THIS HAS EXISTED BEFORE,0.0,THERE ARE HOWEVER SEVERAL POINTS IN WHICH SUCH AN ACCOUNT OF RECOGNITION IS INADEQUATE TO BEGIN WITH IT MIGHT SEEM AT FIRST SIGHT MORE CORRECT TO DEFINE RECOGNITION AS I HAVE SEEN THIS BEFORE THAN AS THIS HAS EXISTED BEFORE,0.0,1.9860390949943687,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
1215,4446,2275,40,THE SIGHT OF YOU BARTLEY TO SEE YOU LIVING AND HAPPY AND SUCCESSFUL CAN I NEVER MAKE YOU UNDERSTAND WHAT THAT MEANS TO ME,THE SIGHT OF YOU BARTLEY TO SEE YOU LIVING AND HAPPY AND SUCCESSFUL CAN I NEVER MAKE YOU UNDERSTAND WHAT THAT MEANS TO ME,0.0,THE SIGHT OF YOU BARTLEY TO SEE YOU LIVING AND HAPPY AND SUCCESSFUL CAN I NEVER MAKE YOU UNDERSTAND WHAT THAT MEANS TO ME,0.0,1.9640934837953787,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
217,1284,1180,5,NO ONE WOULD DISTURB THEIR LITTLE HOUSE EVEN IF ANYONE CAME SO FAR INTO THE THICK FOREST WHILE THEY WERE GONE,NO ONE WOULD DISTURB THEIR LITTLE HOUSE EVEN IF ANYONE CAME SO FAR INTO THE THICK FOREST WHILE THEY WERE GONE,0.0,NO ONE WOULD DISTURB THEIR LITTLE HOUSE EVEN IF ANY ONE CAME SO FAR INTO THE THICK FOREST WHILE THEY WERE GONE,0.0952380952380952,1.9668683457623937,test-clean,mp3,128k,0.0952380952380952,0,0,0,1,0,1,1,0,1,True,False,True,False,True,False,False
431,1580,141084,43,HE PUT HIS SHOES ON THE TABLE,HE PUT HIS SHOES ON THE TABLE,0.0,HE PUT HIS SHOES ON THE TABLE,0.0,1.8805036809641569,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
952,3570,5695,9,EACH WILL THEREFORE SERVE ABOUT EQUALLY WELL DURING THE EARLIER STAGES OF SOCIAL GROWTH,EACH WILL THEREFORE SERVE ABOUT EQUALLY WELL DURING THE EARLIER STAGES OF SOCIAL GROWTH,0.0,EACH WILL THEREFORE SERVE ABOUT EQUALLY WELL DURING THE EARLIER STAGES OF SOCIAL GROWTH,0.0,1.952094936478468,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
2242,7729,102255,9,ALL DISSENT ALL NON COMPLIANCE ALL HESITATION ALL MERE SILENCE EVEN WERE IN THEIR STRONGHOLD TOWNS LIKE LEAVENWORTH BRANDED AS ABOLITIONISM DECLARED TO BE HOSTILITY TO THE PUBLIC WELFARE AND PUNISHED WITH PROSCRIPTION PERSONAL VIOLENCE EXPULSION AND FREQUENTLY DEATH,ALL DESCENT ALL NON COMPLIANCE ALL HESITATION ALL MERE SILENCE EVEN WERE IN THEIR STRONGHOLD TALENTS LIKE LEVENWORTH BRANDED AS ABOLITIONISM DECLARED TO BE HOSTILITY TO THE PUBLIC WELFARE AND PUNISHED WITH PROSCRIPTION PERSONAL VIOLENCE EXPULSION AND FREQUENTLY DEATH,0.0769230769230769,ALL DESCENT ALL NON COMPLIANCE ALL HESITATION ALL MERE SILENCE EVEN WERE IN THEIR STRONGHOLD TALENTS LIKE LEVENWORTH BRANDED AS ABOLITIONISM DECLARED TO BE HOSTILITY TO THE PUBLIC WELFARE AND PUNISHED WITH PROSCRIPTION PERSONAL VIOLENCE EXPULSION AND FREQUENTLY DEATH,0.0769230769230769,1.9866884734889911,test-clean,mp3,128k,0.0,3,0,0,3,0,0,0,0,0,False,False,False,False,False,False,True
680,237,134500,21,OH EVER SO MUCH ONLY HE SEEMS KIND OF STAID AND SCHOOL TEACHERY,OH EVER SO MUCH ONLY HE SEEMS KIND OF STAYAT AND SCHOOL TEACHRY,0.1538461538461538,OH EVER SO MUCH ONLY HE SEEMS KIND OF STAYAT AND SCHOOL TEACHERY,0.0769230769230769,1.9481346786940967,test-clean,mp3,128k,-0.0769230769230769,2,0,0,1,0,0,-1,0,0,False,False,False,False,False,True,False
1646,5683,32866,22,ITS CURTAINS WERE OF THICK AND FADED TAPESTRY,ITS CURTAINS WERE OF THICK AND FADED TAPESTRY,0.0,ITS CURTAINS WERE OF THICK AND FADED TAPESTRY,0.0,1.926164752908347,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
